Name,Price,SKU,Category,Stock,Unit,Description
Liquid Hand Soap 500ml,2800,LHS-077,Cleaning,600,pcs,Antibacterial lavender scent pump dispenser
Toilet Roll 2-Ply,12000,TR-078,Cleaning,400,pack,Pack of 24 rolls 200 sheets each soft and strong
Paper Towel Roll,8500,PT-079,Cleaning,500,pack,Pack of 12 jumbo rolls absorbent 2-ply white
Air Freshener 300ml,3500,AF-080,Cleaning,700,pcs,Long-lasting aerosol fresh linen scent
Folding Table 180x75cm,55000,FT-081,Furniture,30,pcs,Steel frame with HDPE top folds flat for storage
Plastic Chair Stackable,8500,PC-082,Furniture,200,pcs,Reinforced polypropylene holds up to 150kg
Bookshelf 5-Tier,62000,BS-083,Furniture,25,pcs,Solid pine with adjustable shelves 180cm height
Reception Desk,285000,RD-084,Furniture,8,pcs,L-shaped with cable management and lockable drawer
Visitor Chair Padded,35000,VC-085,Furniture,60,pcs,PU leather with chrome legs stackable design
Conference Table 8-Seater,320000,CT-086,Furniture,5,pcs,MDF top with metal frame and cable port
Locker 6-Door Steel,125000,LK-087,Furniture,15,pcs,Powder-coated steel with padlock hasps and number plates
Coat Rack Freestanding,18000,CR-088,Furniture,80,pcs,8-hook chrome standing coat and umbrella rack
Notice Board Cork 90x60cm,22000,NB-089,Office Supplies,50,pcs,Natural cork surface with aluminium frame and fixings
Projector Screen 100",98000,PS-090,Electronics,20,pcs,Manual pull-down matte white 4:3 ratio with ceiling mount
HDMI Splitter 4-Port,9500,HS-091,Electronics,120,pcs,4K@60Hz supports 4 displays simultaneously no power needed
Bluetooth Speaker Portable,21000,BS-092,Electronics,95,pcs,IPX7 waterproof 20W output 24hr playtime
Smart Plug Wi-Fi,5500,SP-093,Electronics,400,pcs,Voice control compatible works with Alexa and Google Home
Extension Lead 4-Gang 2m,6500,EL-094,Accessories,350,pcs,With surge protection and individual switches
Power Strip 6-Gang,8500,PR-095,Accessories,280,pcs,With USB ports and 3m braided cord child safety covers
Thermal Label Printer,58000,TLP-096,Electronics,35,pcs,Direct thermal 4x6 inch labels USB and Bluetooth
Barcode Scanner Wireless,42000,BCS-097,Electronics,45,pcs,1D/2D QR code reader 100m range USB receiver
POS Receipt Printer,68000,PRP-098,Electronics,25,pcs,80mm thermal auto-cutter Ethernet and USB interface
Cash Drawer,32000,CD-099,Electronics,40,pcs,5-bill 8-coin till RJ11 connection fits most POS printers
Tablet Stand Adjustable,9500,TS-100,Accessories,160,pcs,Universal 360-degree rotation fits 7 to 13-inch tablets
